Transaction_Date,Date_ID,Week_ID,Week_Desc,Month_ID,Month_Name,Quarter_ID,Quarter_Name,Year_ID,Week_Year
01-01-2017,20170101,1,Week 1,1,January,1,Q1,2017,Week 1-2017
02-01-2017,20170102,1,Week 1,1,January,1,Q1,2017,Week 1-2017
03-01-2017,20170103,1,Week 1,1,January,1,Q1,2017,Week 1-2017
04-01-2017,20170104,1,Week 1,1,January,1,Q1,2017,Week 1-2017
05-01-2017,20170105,1,Week 1,1,January,1,Q1,2017,Week 1-2017
06-01-2017,20170106,1,Week 1,1,January,1,Q1,2017,Week 1-2017
07-01-2017,20170107,1,Week 1,1,January,1,Q1,2017,Week 1-2017
08-01-2017,20170108,2,Week 2,1,January,1,Q1,2017,Week 2-2017
09-01-2017,20170109,2,Week 2,1,January,1,Q1,2017,Week 2-2017
10-01-2017,20170110,2,Week 2,1,January,1,Q1,2017,Week 2-2017
11-01-2017,20170111,2,Week 2,1,January,1,Q1,2017,Week 2-2017
12-01-2017,20170112,2,Week 2,1,January,1,Q1,2017,Week 2-2017
13-01-2017,20170113,2,Week 2,1,January,1,Q1,2017,Week 2-2017
14-01-2017,20170114,2,Week 2,1,January,1,Q1,2017,Week 2-2017
15-01-2017,20170115,3,Week 3,1,January,1,Q1,2017,Week 3-2017
16-01-2017,20170116,3,Week 3,1,January,1,Q1,2017,Week 3-2017
17-01-2017,20170117,3,Week 3,1,January,1,Q1,2017,Week 3-2017
18-01-2017,20170118,3,Week 3,1,January,1,Q1,2017,Week 3-2017
19-01-2017,20170119,3,Week 3,1,January,1,Q1,2017,Week 3-2017
20-01-2017,20170120,3,Week 3,1,January,1,Q1,2017,Week 3-2017
21-01-2017,20170121,3,Week 3,1,January,1,Q1,2017,Week 3-2017
22-01-2017,20170122,4,Week 4,1,January,1,Q1,2017,Week 4-2017
23-01-2017,20170123,4,Week 4,1,January,1,Q1,2017,Week 4-2017
24-01-2017,20170124,4,Week 4,1,January,1,Q1,2017,Week 4-2017
25-01-2017,20170125,4,Week 4,1,January,1,Q1,2017,Week 4-2017
26-01-2017,20170126,4,Week 4,1,January,1,Q1,2017,Week 4-2017
27-01-2017,20170127,4,Week 4,1,January,1,Q1,2017,Week 4-2017
28-01-2017,20170128,4,Week 4,1,January,1,Q1,2017,Week 4-2017
29-01-2017,20170129,5,Week 5,1,January,1,Q1,2017,Week 5-2017
30-01-2017,20170130,5,Week 5,1,January,1,Q1,2017,Week 5-2017
31-01-2017,20170131,5,Week 5,1,January,1,Q1,2017,Week 5-2017
01-02-2017,20170201,5,Week 5,2,February,1,Q1,2017,Week 5-2017
02-02-2017,20170202,5,Week 5,2,February,1,Q1,2017,Week 5-2017
03-02-2017,20170203,5,Week 5,2,February,1,Q1,2017,Week 5-2017
04-02-2017,20170204,5,Week 5,2,February,1,Q1,2017,Week 5-2017
05-02-2017,20170205,6,Week 6,2,February,1,Q1,2017,Week 6-2017
06-02-2017,20170206,6,Week 6,2,February,1,Q1,2017,Week 6-2017
07-02-2017,20170207,6,Week 6,2,February,1,Q1,2017,Week 6-2017
08-02-2017,20170208,6,Week 6,2,February,1,Q1,2017,Week 6-2017
09-02-2017,20170209,6,Week 6,2,February,1,Q1,2017,Week 6-2017
10-02-2017,20170210,6,Week 6,2,February,1,Q1,2017,Week 6-2017
11-02-2017,20170211,6,Week 6,2,February,1,Q1,2017,Week 6-2017
12-02-2017,20170212,7,Week 7,2,February,1,Q1,2017,Week 7-2017
13-02-2017,20170213,7,Week 7,2,February,1,Q1,2017,Week 7-2017
14-02-2017,20170214,7,Week 7,2,February,1,Q1,2017,Week 7-2017
15-02-2017,20170215,7,Week 7,2,February,1,Q1,2017,Week 7-2017
16-02-2017,20170216,7,Week 7,2,February,1,Q1,2017,Week 7-2017
17-02-2017,20170217,7,Week 7,2,February,1,Q1,2017,Week 7-2017
18-02-2017,20170218,7,Week 7,2,February,1,Q1,2017,Week 7-2017
19-02-2017,20170219,8,Week 8,2,February,1,Q1,2017,Week 8-2017
20-02-2017,20170220,8,Week 8,2,February,1,Q1,2017,Week 8-2017
21-02-2017,20170221,8,Week 8,2,February,1,Q1,2017,Week 8-2017
22-02-2017,20170222,8,Week 8,2,February,1,Q1,2017,Week 8-2017
23-02-2017,20170223,8,Week 8,2,February,1,Q1,2017,Week 8-2017
24-02-2017,20170224,8,Week 8,2,February,1,Q1,2017,Week 8-2017
25-02-2017,20170225,8,Week 8,2,February,1,Q1,2017,Week 8-2017
26-02-2017,20170226,9,Week 9,2,February,1,Q1,2017,Week 9-2017
27-02-2017,20170227,9,Week 9,2,February,1,Q1,2017,Week 9-2017
28-02-2017,20170228,9,Week 9,2,February,1,Q1,2017,Week 9-2017
01-03-2017,20170301,9,Week 9,3,March,1,Q1,2017,Week 9-2017
02-03-2017,20170302,9,Week 9,3,March,1,Q1,2017,Week 9-2017
03-03-2017,20170303,9,Week 9,3,March,1,Q1,2017,Week 9-2017
04-03-2017,20170304,9,Week 9,3,March,1,Q1,2017,Week 9-2017
05-03-2017,20170305,10,Week 10,3,March,1,Q1,2017,Week 10-2017
06-03-2017,20170306,10,Week 10,3,March,1,Q1,2017,Week 10-2017
07-03-2017,20170307,10,Week 10,3,March,1,Q1,2017,Week 10-2017
08-03-2017,20170308,10,Week 10,3,March,1,Q1,2017,Week 10-2017
09-03-2017,20170309,10,Week 10,3,March,1,Q1,2017,Week 10-2017
10-03-2017,20170310,10,Week 10,3,March,1,Q1,2017,Week 10-2017
11-03-2017,20170311,10,Week 10,3,March,1,Q1,2017,Week 10-2017
12-03-2017,20170312,11,Week 11,3,March,1,Q1,2017,Week 11-2017
13-03-2017,20170313,11,Week 11,3,March,1,Q1,2017,Week 11-2017
14-03-2017,20170314,11,Week 11,3,March,1,Q1,2017,Week 11-2017
15-03-2017,20170315,11,Week 11,3,March,1,Q1,2017,Week 11-2017
16-03-2017,20170316,11,Week 11,3,March,1,Q1,2017,Week 11-2017
17-03-2017,20170317,11,Week 11,3,March,1,Q1,2017,Week 11-2017
18-03-2017,20170318,11,Week 11,3,March,1,Q1,2017,Week 11-2017
19-03-2017,20170319,12,Week 12,3,March,1,Q1,2017,Week 12-2017
20-03-2017,20170320,12,Week 12,3,March,1,Q1,2017,Week 12-2017
21-03-2017,20170321,12,Week 12,3,March,1,Q1,2017,Week 12-2017
22-03-2017,20170322,12,Week 12,3,March,1,Q1,2017,Week 12-2017
23-03-2017,20170323,12,Week 12,3,March,1,Q1,2017,Week 12-2017
24-03-2017,20170324,12,Week 12,3,March,1,Q1,2017,Week 12-2017
25-03-2017,20170325,12,Week 12,3,March,1,Q1,2017,Week 12-2017
26-03-2017,20170326,13,Week 13,3,March,1,Q1,2017,Week 13-2017
27-03-2017,20170327,13,Week 13,3,March,1,Q1,2017,Week 13-2017
28-03-2017,20170328,13,Week 13,3,March,1,Q1,2017,Week 13-2017
29-03-2017,20170329,13,Week 13,3,March,1,Q1,2017,Week 13-2017
30-03-2017,20170330,13,Week 13,3,March,1,Q1,2017,Week 13-2017
31-03-2017,20170331,13,Week 13,3,March,1,Q1,2017,Week 13-2017
01-04-2017,20170401,13,Week 13,4,April,2,Q2,2017,Week 13-2017
02-04-2017,20170402,14,Week 14,4,April,2,Q2,2017,Week 14-2017
03-04-2017,20170403,14,Week 14,4,April,2,Q2,2017,Week 14-2017
04-04-2017,20170404,14,Week 14,4,April,2,Q2,2017,Week 14-2017
05-04-2017,20170405,14,Week 14,4,April,2,Q2,2017,Week 14-2017
06-04-2017,20170406,14,Week 14,4,April,2,Q2,2017,Week 14-2017
07-04-2017,20170407,14,Week 14,4,April,2,Q2,2017,Week 14-2017
08-04-2017,20170408,14,Week 14,4,April,2,Q2,2017,Week 14-2017
09-04-2017,20170409,15,Week 15,4,April,2,Q2,2017,Week 15-2017
10-04-2017,20170410,15,Week 15,4,April,2,Q2,2017,Week 15-2017
11-04-2017,20170411,15,Week 15,4,April,2,Q2,2017,Week 15-2017
12-04-2017,20170412,15,Week 15,4,April,2,Q2,2017,Week 15-2017
13-04-2017,20170413,15,Week 15,4,April,2,Q2,2017,Week 15-2017
14-04-2017,20170414,15,Week 15,4,April,2,Q2,2017,Week 15-2017
15-04-2017,20170415,15,Week 15,4,April,2,Q2,2017,Week 15-2017
16-04-2017,20170416,16,Week 16,4,April,2,Q2,2017,Week 16-2017
17-04-2017,20170417,16,Week 16,4,April,2,Q2,2017,Week 16-2017
18-04-2017,20170418,16,Week 16,4,April,2,Q2,2017,Week 16-2017
19-04-2017,20170419,16,Week 16,4,April,2,Q2,2017,Week 16-2017
20-04-2017,20170420,16,Week 16,4,April,2,Q2,2017,Week 16-2017
21-04-2017,20170421,16,Week 16,4,April,2,Q2,2017,Week 16-2017
22-04-2017,20170422,16,Week 16,4,April,2,Q2,2017,Week 16-2017
23-04-2017,20170423,17,Week 17,4,April,2,Q2,2017,Week 17-2017
24-04-2017,20170424,17,Week 17,4,April,2,Q2,2017,Week 17-2017
25-04-2017,20170425,17,Week 17,4,April,2,Q2,2017,Week 17-2017
26-04-2017,20170426,17,Week 17,4,April,2,Q2,2017,Week 17-2017
27-04-2017,20170427,17,Week 17,4,April,2,Q2,2017,Week 17-2017
28-04-2017,20170428,17,Week 17,4,April,2,Q2,2017,Week 17-2017
29-04-2017,20170429,17,Week 17,4,April,2,Q2,2017,Week 17-2017
30-04-2017,20170430,18,Week 18,4,April,2,Q2,2017,Week 18-2017
01-05-2017,20170501,18,Week 18,5,May,2,Q2,2017,Week 18-2017
02-05-2017,20170502,18,Week 18,5,May,2,Q2,2017,Week 18-2017
03-05-2017,20170503,18,Week 18,5,May,2,Q2,2017,Week 18-2017
04-05-2017,20170504,18,Week 18,5,May,2,Q2,2017,Week 18-2017
05-05-2017,20170505,18,Week 18,5,May,2,Q2,2017,Week 18-2017
06-05-2017,20170506,18,Week 18,5,May,2,Q2,2017,Week 18-2017
07-05-2017,20170507,19,Week 19,5,May,2,Q2,2017,Week 19-2017
08-05-2017,20170508,19,Week 19,5,May,2,Q2,2017,Week 19-2017
09-05-2017,20170509,19,Week 19,5,May,2,Q2,2017,Week 19-2017
10-05-2017,20170510,19,Week 19,5,May,2,Q2,2017,Week 19-2017
11-05-2017,20170511,19,Week 19,5,May,2,Q2,2017,Week 19-2017
12-05-2017,20170512,19,Week 19,5,May,2,Q2,2017,Week 19-2017
13-05-2017,20170513,19,Week 19,5,May,2,Q2,2017,Week 19-2017
14-05-2017,20170514,20,Week 20,5,May,2,Q2,2017,Week 20-2017
15-05-2017,20170515,20,Week 20,5,May,2,Q2,2017,Week 20-2017
16-05-2017,20170516,20,Week 20,5,May,2,Q2,2017,Week 20-2017
17-05-2017,20170517,20,Week 20,5,May,2,Q2,2017,Week 20-2017
18-05-2017,20170518,20,Week 20,5,May,2,Q2,2017,Week 20-2017
19-05-2017,20170519,20,Week 20,5,May,2,Q2,2017,Week 20-2017
20-05-2017,20170520,20,Week 20,5,May,2,Q2,2017,Week 20-2017
21-05-2017,20170521,21,Week 21,5,May,2,Q2,2017,Week 21-2017
22-05-2017,20170522,21,Week 21,5,May,2,Q2,2017,Week 21-2017
23-05-2017,20170523,21,Week 21,5,May,2,Q2,2017,Week 21-2017
24-05-2017,20170524,21,Week 21,5,May,2,Q2,2017,Week 21-2017
25-05-2017,20170525,21,Week 21,5,May,2,Q2,2017,Week 21-2017
26-05-2017,20170526,21,Week 21,5,May,2,Q2,2017,Week 21-2017
27-05-2017,20170527,21,Week 21,5,May,2,Q2,2017,Week 21-2017
28-05-2017,20170528,22,Week 22,5,May,2,Q2,2017,Week 22-2017
29-05-2017,20170529,22,Week 22,5,May,2,Q2,2017,Week 22-2017
30-05-2017,20170530,22,Week 22,5,May,2,Q2,2017,Week 22-2017
31-05-2017,20170531,22,Week 22,5,May,2,Q2,2017,Week 22-2017
01-06-2017,20170601,22,Week 22,6,June,2,Q2,2017,Week 22-2017
02-06-2017,20170602,22,Week 22,6,June,2,Q2,2017,Week 22-2017
03-06-2017,20170603,22,Week 22,6,June,2,Q2,2017,Week 22-2017
04-06-2017,20170604,23,Week 23,6,June,2,Q2,2017,Week 23-2017
05-06-2017,20170605,23,Week 23,6,June,2,Q2,2017,Week 23-2017
06-06-2017,20170606,23,Week 23,6,June,2,Q2,2017,Week 23-2017
07-06-2017,20170607,23,Week 23,6,June,2,Q2,2017,Week 23-2017
08-06-2017,20170608,23,Week 23,6,June,2,Q2,2017,Week 23-2017
09-06-2017,20170609,23,Week 23,6,June,2,Q2,2017,Week 23-2017
10-06-2017,20170610,23,Week 23,6,June,2,Q2,2017,Week 23-2017
11-06-2017,20170611,24,Week 24,6,June,2,Q2,2017,Week 24-2017
12-06-2017,20170612,24,Week 24,6,June,2,Q2,2017,Week 24-2017
13-06-2017,20170613,24,Week 24,6,June,2,Q2,2017,Week 24-2017
14-06-2017,20170614,24,Week 24,6,June,2,Q2,2017,Week 24-2017
15-06-2017,20170615,24,Week 24,6,June,2,Q2,2017,Week 24-2017
16-06-2017,20170616,24,Week 24,6,June,2,Q2,2017,Week 24-2017
17-06-2017,20170617,24,Week 24,6,June,2,Q2,2017,Week 24-2017
18-06-2017,20170618,25,Week 25,6,June,2,Q2,2017,Week 25-2017
19-06-2017,20170619,25,Week 25,6,June,2,Q2,2017,Week 25-2017
20-06-2017,20170620,25,Week 25,6,June,2,Q2,2017,Week 25-2017
21-06-2017,20170621,25,Week 25,6,June,2,Q2,2017,Week 25-2017
22-06-2017,20170622,25,Week 25,6,June,2,Q2,2017,Week 25-2017
23-06-2017,20170623,25,Week 25,6,June,2,Q2,2017,Week 25-2017
24-06-2017,20170624,25,Week 25,6,June,2,Q2,2017,Week 25-2017
25-06-2017,20170625,26,Week 26,6,June,2,Q2,2017,Week 26-2017
26-06-2017,20170626,26,Week 26,6,June,2,Q2,2017,Week 26-2017
27-06-2017,20170627,26,Week 26,6,June,2,Q2,2017,Week 26-2017
28-06-2017,20170628,26,Week 26,6,June,2,Q2,2017,Week 26-2017
29-06-2017,20170629,26,Week 26,6,June,2,Q2,2017,Week 26-2017
30-06-2017,20170630,26,Week 26,6,June,2,Q2,2017,Week 26-2017
01-07-2017,20170701,26,Week 26,7,July,3,Q3,2017,Week 26-2017
02-07-2017,20170702,27,Week 27,7,July,3,Q3,2017,Week 27-2017
03-07-2017,20170703,27,Week 27,7,July,3,Q3,2017,Week 27-2017
04-07-2017,20170704,27,Week 27,7,July,3,Q3,2017,Week 27-2017
05-07-2017,20170705,27,Week 27,7,July,3,Q3,2017,Week 27-2017
06-07-2017,20170706,27,Week 27,7,July,3,Q3,2017,Week 27-2017
07-07-2017,20170707,27,Week 27,7,July,3,Q3,2017,Week 27-2017
08-07-2017,20170708,27,Week 27,7,July,3,Q3,2017,Week 27-2017
09-07-2017,20170709,28,Week 28,7,July,3,Q3,2017,Week 28-2017
10-07-2017,20170710,28,Week 28,7,July,3,Q3,2017,Week 28-2017
11-07-2017,20170711,28,Week 28,7,July,3,Q3,2017,Week 28-2017
12-07-2017,20170712,28,Week 28,7,July,3,Q3,2017,Week 28-2017
13-07-2017,20170713,28,Week 28,7,July,3,Q3,2017,Week 28-2017
14-07-2017,20170714,28,Week 28,7,July,3,Q3,2017,Week 28-2017
15-07-2017,20170715,28,Week 28,7,July,3,Q3,2017,Week 28-2017
16-07-2017,20170716,29,Week 29,7,July,3,Q3,2017,Week 29-2017
17-07-2017,20170717,29,Week 29,7,July,3,Q3,2017,Week 29-2017
18-07-2017,20170718,29,Week 29,7,July,3,Q3,2017,Week 29-2017
19-07-2017,20170719,29,Week 29,7,July,3,Q3,2017,Week 29-2017
20-07-2017,20170720,29,Week 29,7,July,3,Q3,2017,Week 29-2017
21-07-2017,20170721,29,Week 29,7,July,3,Q3,2017,Week 29-2017
22-07-2017,20170722,29,Week 29,7,July,3,Q3,2017,Week 29-2017
23-07-2017,20170723,30,Week 30,7,July,3,Q3,2017,Week 30-2017
24-07-2017,20170724,30,Week 30,7,July,3,Q3,2017,Week 30-2017
25-07-2017,20170725,30,Week 30,7,July,3,Q3,2017,Week 30-2017
26-07-2017,20170726,30,Week 30,7,July,3,Q3,2017,Week 30-2017
27-07-2017,20170727,30,Week 30,7,July,3,Q3,2017,Week 30-2017
28-07-2017,20170728,30,Week 30,7,July,3,Q3,2017,Week 30-2017
29-07-2017,20170729,30,Week 30,7,July,3,Q3,2017,Week 30-2017
30-07-2017,20170730,31,Week 31,7,July,3,Q3,2017,Week 31-2017
31-07-2017,20170731,31,Week 31,7,July,3,Q3,2017,Week 31-2017
01-08-2017,20170801,31,Week 31,8,August,3,Q3,2017,Week 31-2017
02-08-2017,20170802,31,Week 31,8,August,3,Q3,2017,Week 31-2017
03-08-2017,20170803,31,Week 31,8,August,3,Q3,2017,Week 31-2017
04-08-2017,20170804,31,Week 31,8,August,3,Q3,2017,Week 31-2017
05-08-2017,20170805,31,Week 31,8,August,3,Q3,2017,Week 31-2017
06-08-2017,20170806,32,Week 32,8,August,3,Q3,2017,Week 32-2017
07-08-2017,20170807,32,Week 32,8,August,3,Q3,2017,Week 32-2017
08-08-2017,20170808,32,Week 32,8,August,3,Q3,2017,Week 32-2017
09-08-2017,20170809,32,Week 32,8,August,3,Q3,2017,Week 32-2017
10-08-2017,20170810,32,Week 32,8,August,3,Q3,2017,Week 32-2017
11-08-2017,20170811,32,Week 32,8,August,3,Q3,2017,Week 32-2017
12-08-2017,20170812,32,Week 32,8,August,3,Q3,2017,Week 32-2017
13-08-2017,20170813,33,Week 33,8,August,3,Q3,2017,Week 33-2017
14-08-2017,20170814,33,Week 33,8,August,3,Q3,2017,Week 33-2017
15-08-2017,20170815,33,Week 33,8,August,3,Q3,2017,Week 33-2017
16-08-2017,20170816,33,Week 33,8,August,3,Q3,2017,Week 33-2017
17-08-2017,20170817,33,Week 33,8,August,3,Q3,2017,Week 33-2017
18-08-2017,20170818,33,Week 33,8,August,3,Q3,2017,Week 33-2017
19-08-2017,20170819,33,Week 33,8,August,3,Q3,2017,Week 33-2017
20-08-2017,20170820,34,Week 34,8,August,3,Q3,2017,Week 34-2017
21-08-2017,20170821,34,Week 34,8,August,3,Q3,2017,Week 34-2017
22-08-2017,20170822,34,Week 34,8,August,3,Q3,2017,Week 34-2017
23-08-2017,20170823,34,Week 34,8,August,3,Q3,2017,Week 34-2017
24-08-2017,20170824,34,Week 34,8,August,3,Q3,2017,Week 34-2017
25-08-2017,20170825,34,Week 34,8,August,3,Q3,2017,Week 34-2017
26-08-2017,20170826,34,Week 34,8,August,3,Q3,2017,Week 34-2017
27-08-2017,20170827,35,Week 35,8,August,3,Q3,2017,Week 35-2017
28-08-2017,20170828,35,Week 35,8,August,3,Q3,2017,Week 35-2017
29-08-2017,20170829,35,Week 35,8,August,3,Q3,2017,Week 35-2017
30-08-2017,20170830,35,Week 35,8,August,3,Q3,2017,Week 35-2017
31-08-2017,20170831,35,Week 35,8,August,3,Q3,2017,Week 35-2017
01-09-2017,20170901,35,Week 35,9,September,3,Q3,2017,Week 35-2017
02-09-2017,20170902,35,Week 35,9,September,3,Q3,2017,Week 35-2017
03-09-2017,20170903,36,Week 36,9,September,3,Q3,2017,Week 36-2017
04-09-2017,20170904,36,Week 36,9,September,3,Q3,2017,Week 36-2017
05-09-2017,20170905,36,Week 36,9,September,3,Q3,2017,Week 36-2017
06-09-2017,20170906,36,Week 36,9,September,3,Q3,2017,Week 36-2017
07-09-2017,20170907,36,Week 36,9,September,3,Q3,2017,Week 36-2017
08-09-2017,20170908,36,Week 36,9,September,3,Q3,2017,Week 36-2017
09-09-2017,20170909,36,Week 36,9,September,3,Q3,2017,Week 36-2017
10-09-2017,20170910,37,Week 37,9,September,3,Q3,2017,Week 37-2017
11-09-2017,20170911,37,Week 37,9,September,3,Q3,2017,Week 37-2017
12-09-2017,20170912,37,Week 37,9,September,3,Q3,2017,Week 37-2017
13-09-2017,20170913,37,Week 37,9,September,3,Q3,2017,Week 37-2017
14-09-2017,20170914,37,Week 37,9,September,3,Q3,2017,Week 37-2017
15-09-2017,20170915,37,Week 37,9,September,3,Q3,2017,Week 37-2017
16-09-2017,20170916,37,Week 37,9,September,3,Q3,2017,Week 37-2017
17-09-2017,20170917,38,Week 38,9,September,3,Q3,2017,Week 38-2017
18-09-2017,20170918,38,Week 38,9,September,3,Q3,2017,Week 38-2017
19-09-2017,20170919,38,Week 38,9,September,3,Q3,2017,Week 38-2017
20-09-2017,20170920,38,Week 38,9,September,3,Q3,2017,Week 38-2017
21-09-2017,20170921,38,Week 38,9,September,3,Q3,2017,Week 38-2017
22-09-2017,20170922,38,Week 38,9,September,3,Q3,2017,Week 38-2017
23-09-2017,20170923,38,Week 38,9,September,3,Q3,2017,Week 38-2017
24-09-2017,20170924,39,Week 39,9,September,3,Q3,2017,Week 39-2017
25-09-2017,20170925,39,Week 39,9,September,3,Q3,2017,Week 39-2017
26-09-2017,20170926,39,Week 39,9,September,3,Q3,2017,Week 39-2017
27-09-2017,20170927,39,Week 39,9,September,3,Q3,2017,Week 39-2017
28-09-2017,20170928,39,Week 39,9,September,3,Q3,2017,Week 39-2017
29-09-2017,20170929,39,Week 39,9,September,3,Q3,2017,Week 39-2017
30-09-2017,20170930,39,Week 39,9,September,3,Q3,2017,Week 39-2017
01-10-2017,20171001,40,Week 40,10,October,4,Q4,2017,Week 40-2017
02-10-2017,20171002,40,Week 40,10,October,4,Q4,2017,Week 40-2017
03-10-2017,20171003,40,Week 40,10,October,4,Q4,2017,Week 40-2017
04-10-2017,20171004,40,Week 40,10,October,4,Q4,2017,Week 40-2017
05-10-2017,20171005,40,Week 40,10,October,4,Q4,2017,Week 40-2017
06-10-2017,20171006,40,Week 40,10,October,4,Q4,2017,Week 40-2017
07-10-2017,20171007,40,Week 40,10,October,4,Q4,2017,Week 40-2017
08-10-2017,20171008,41,Week 41,10,October,4,Q4,2017,Week 41-2017
09-10-2017,20171009,41,Week 41,10,October,4,Q4,2017,Week 41-2017
10-10-2017,20171010,41,Week 41,10,October,4,Q4,2017,Week 41-2017
11-10-2017,20171011,41,Week 41,10,October,4,Q4,2017,Week 41-2017
12-10-2017,20171012,41,Week 41,10,October,4,Q4,2017,Week 41-2017
13-10-2017,20171013,41,Week 41,10,October,4,Q4,2017,Week 41-2017
14-10-2017,20171014,41,Week 41,10,October,4,Q4,2017,Week 41-2017
15-10-2017,20171015,42,Week 42,10,October,4,Q4,2017,Week 42-2017
16-10-2017,20171016,42,Week 42,10,October,4,Q4,2017,Week 42-2017
17-10-2017,20171017,42,Week 42,10,October,4,Q4,2017,Week 42-2017
18-10-2017,20171018,42,Week 42,10,October,4,Q4,2017,Week 42-2017
19-10-2017,20171019,42,Week 42,10,October,4,Q4,2017,Week 42-2017
20-10-2017,20171020,42,Week 42,10,October,4,Q4,2017,Week 42-2017
21-10-2017,20171021,42,Week 42,10,October,4,Q4,2017,Week 42-2017
22-10-2017,20171022,43,Week 43,10,October,4,Q4,2017,Week 43-2017
23-10-2017,20171023,43,Week 43,10,October,4,Q4,2017,Week 43-2017
24-10-2017,20171024,43,Week 43,10,October,4,Q4,2017,Week 43-2017
25-10-2017,20171025,43,Week 43,10,October,4,Q4,2017,Week 43-2017
26-10-2017,20171026,43,Week 43,10,October,4,Q4,2017,Week 43-2017
27-10-2017,20171027,43,Week 43,10,October,4,Q4,2017,Week 43-2017
28-10-2017,20171028,43,Week 43,10,October,4,Q4,2017,Week 43-2017
29-10-2017,20171029,44,Week 44,10,October,4,Q4,2017,Week 44-2017
30-10-2017,20171030,44,Week 44,10,October,4,Q4,2017,Week 44-2017
31-10-2017,20171031,44,Week 44,10,October,4,Q4,2017,Week 44-2017
01-11-2017,20171101,44,Week 44,11,November,4,Q4,2017,Week 44-2017
02-11-2017,20171102,44,Week 44,11,November,4,Q4,2017,Week 44-2017
03-11-2017,20171103,44,Week 44,11,November,4,Q4,2017,Week 44-2017
04-11-2017,20171104,44,Week 44,11,November,4,Q4,2017,Week 44-2017
05-11-2017,20171105,45,Week 45,11,November,4,Q4,2017,Week 45-2017
06-11-2017,20171106,45,Week 45,11,November,4,Q4,2017,Week 45-2017
07-11-2017,20171107,45,Week 45,11,November,4,Q4,2017,Week 45-2017
08-11-2017,20171108,45,Week 45,11,November,4,Q4,2017,Week 45-2017
09-11-2017,20171109,45,Week 45,11,November,4,Q4,2017,Week 45-2017
