id,member_id,loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,title,dti,delinq_2yrs,inq_last_6mths,out_prncp,cusip,per_paid,int_rate2,loan_quality,response,topk,loan_amnt_score,term_score,int_rate2_score,grade_score,emp_length_score,home_ownership_score,annual_inc_score,verification_status_score,purpose_score,dti_score,delinq_2yrs_score,inq_last_6mths_score,per_paid_score,score_sum,pred_score,pred_lq
6385847,7917956,14675, 60 months,22.20%,E,10+ years,RENT,38000,VERIFIED - income,Current,wedding,WEDDING FUNDS,21.19,0,0,10417.55,52602LCB4,0.709884157,22.2,0,3.77E-05,int_rate2_score;per_paid_score;home_ownership_score;dti_score;grade_score,0,0,33,0,-2,3,0,0,-153,3,0,0,17,2.82591309,425,3.77E-05
32008737,34621938,3000, 36 months,16.99%,D,4 years,MORTGAGE,50000,not verified,Current,debt_consolidation,Debt consolidation,30.22,0,1,2312.58,52602LCB4,0.77086,16.99,0,0.044340131,int_rate2_score;per_paid_score;emp_length_score;dti_score;loan_amnt_score,1,0,15,1,4,-2,0,0,0,3,0,0,11,1.812849907,560,0.044340131
20790871,23063431,8000, 36 months,10.15%,B,3 years,OWN,60000,not verified,Current,debt_consolidation,Debt consolidation,14.58,0,0,5173.25,52602LCB4,0.64665625,10.15,0,0.013179172,per_paid_score;loan_amnt_score;grade_score;term_score;verification_status_score,1,0,-9,1,-2,-1,0,0,0,3,0,0,23,1.332977873,539,0.013179172
50468151,53847963,9000, 36 months,9.17%,B,10+ years,MORTGAGE,66000,not verified,Current,home_improvement,Home improvement,3.87,1,0,8340.55,52602LCB4,0.926727778,9.17,0,0.002532333,purpose_score;grade_score;loan_amnt_score;delinq_2yrs_score;term_score,1,0,-13,1,-2,-2,0,0,1,3,0,0,-4,0.159957345,505,0.002532333
31788058,34401267,6000, 36 months,8.39%,A,3 years,MORTGAGE,44000,VERIFIED - income source,Current,debt_consolidation,Debt consolidation,24.09,0,1,4323.56,52602LCB4,0.720593333,8.39,0,0.005170984,per_paid_score;dti_score;loan_amnt_score;inq_last_6mths_score;term_score,1,0,-16,-6,-2,-2,0,0,0,3,0,0,16,0.959744068,519,0.005170984
12499116,14511228,20000, 60 months,9.67%,B,4 years,MORTGAGE,110000,VERIFIED - income source,Current,credit_card,Credit card refinancing,18.11,0,0,14974.76,52602LCB4,0.748738,9.67,0,0.009489153,per_paid_score;emp_length_score;grade_score;annual_inc_score;term_score,0,0,-11,1,4,-2,0,0,-1,3,0,0,13,0.959744068,531,0.009489153
35104805,37788166,6000, 36 months,14.99%,C,8 years,RENT,36000,not verified,Current,debt_consolidation,Debt consolidation,16.8,0,0,4592.48,52602LCB4,0.765413333,14.99,0,0.027488546,per_paid_score;int_rate2_score;home_ownership_score;grade_score;loan_amnt_score,1,0,8,3,-1,3,0,0,0,3,0,0,12,1.439616102,552,0.027488546
43869475,46886194,2000, 36 months,8.18%,B,9 years,RENT,45000,not verified,Late (31-120 days),other,Other,28.35,0,0,1901.25,52602LCB4,0.950625,8.18,1,0.003576773,home_ownership_score;emp_length_score;dti_score;loan_amnt_score;grade_score,1,0,-16,1,2,3,0,0,-2,3,0,0,-6,0.479872034,512,0.003576773
13266956,15309172,16000, 36 months,12.49%,B,10+ years,MORTGAGE,79800,not verified,Current,debt_consolidation,Debt consolidation,9.55,0,0,9617.9,52602LCB4,0.60111875,12.49,0,0.022762773,per_paid_score;grade_score;annual_inc_score;term_score;verification_status_score,0,0,-1,1,-2,-2,0,0,0,3,0,0,27,1.492935217,548,0.022762773
7059457,8721497,7000, 36 months,13.68%,C,5 years,RENT,73000,not verified,Current,debt_consolidation,Debt consolidation,28.45,0,1,2656.93,52602LCB4,0.379561429,13.68,0,0.172574764,per_paid_score;int_rate2_score;home_ownership_score;grade_score;dti_score,1,0,3,3,1,3,0,0,0,3,0,0,48,3.145827779,588,0.172574764
